model,term,coef,se,t,p_value
H2_OLS_log1p_cluster_operator,C(operator)[T.NOBLE ENERGY INC],-0.23692601876831468,0.0987321128765684,-2.399685491026731,0.01640916372817751
H2_OLS_log1p_cluster_operator,C(operator)[T.NOBLE MIDSTREAM SERVICES LLC],0.09050924828531126,0.026423286173444697,3.425359271787803,0.0006139869210387723
H2_OLS_log1p_cluster_operator,C(operator)[T.NORTHSTAR GAS COMPANY INC],0.33192096828710277,0.3795273431695879,0.8745640446221744,0.3818111586252074
H2_OLS_log1p_cluster_operator,C(operator)[T.O'BRIEN ENERGY RESOURCES CORP],-0.9130322129024461,0.06020997869203017,-15.164134463035472,6.109903344213822e-52
H2_OLS_log1p_cluster_operator,C(operator)[T.OXY USA INC],0.019586200649424512,0.36247109039000147,0.0540352076860825,0.9569071135285547
H2_OLS_log1p_cluster_operator,C(operator)[T.OXY USA WTP LP],-0.8930563626404329,0.36247109039000036,-2.4638002486751422,0.013747270132346081
H2_OLS_log1p_cluster_operator,C(operator)[T.PAINTED PEGASUS PETROLEUM LLC],1.9644279806125382,0.13425168124238013,14.632427411213783,1.7445031625179404e-48
H2_OLS_log1p_cluster_operator,C(operator)[T.PDC ENERGY INC],-0.09150382903206261,0.08103472322097033,-1.1291928372796993,0.25881649464480705
H2_OLS_log1p_cluster_operator,C(operator)[T.PETERSON ENERGY OPERATING INC],0.37861040227960985,0.10950344149537213,3.457520577520943,0.0005451706057963186
H2_OLS_log1p_cluster_operator,C(operator)[T.PETRO MEX RESOURCES],0.9654419393392515,0.3629841771306602,2.6597356032732242,0.00782020138268147
H2_OLS_log1p_cluster_operator,C(operator)[T.PETRO OPERATING COMPANY LLC],0.8518781522450787,0.0620933061135296,13.719323475666272,7.778782763037554e-43
H2_OLS_log1p_cluster_operator,C(operator)[T.PETROSHARE CORPORATION],0.43009452394372805,0.10241050549102998,4.199710975759216,2.672559067052528e-05
H2_OLS_log1p_cluster_operator,C(operator)[T.PLUG NICKEL OIL COMPANY INC],-0.5153768921001061,0.37952734316958564,-1.3579440358525585,0.17448144286325196
H2_OLS_log1p_cluster_operator,C(operator)[T.PRAIRIE OPERATING CO LLC],0.43944491546725367,3.720684667335401e-13,1181086156871.138,0.0
H2_OLS_log1p_cluster_operator,C(operator)[T.PROVIDENCE OPERATING LLC DBA POCO OPERATING],-0.1732867951399682,3.729813155537194e-13,-464599131146.0486,0.0
H2_OLS_log1p_cluster_operator,C(operator)[T.RED HAWK PETROLEUM LLC],0.19689977806760034,0.032247168436342545,6.105955580450108,1.0218742713762152e-09
H2_OLS_log1p_cluster_operator,C(operator)[T.RED ROCK GATHERING COMPANY LLC],-0.7811911013576129,0.3723405161856091,-2.0980555899755875,0.03590023499242514
H2_OLS_log1p_cluster_operator,C(operator)[T.REP PROCESSING LLC],0.6161139177116808,0.02411431821987363,25.54971333188741,5.531086127127108e-144
H2_OLS_log1p_cluster_operator,C(operator)[T.RIO MESA RESOURCES INC],0.6853373932541345,0.37753763673416546,1.8152823098182902,0.06948053614214553
H2_OLS_log1p_cluster_operator,C(operator)[T.ROBERT L BAYLESS PRODUCER LLC],-0.00780978730579901,0.37753763673416596,-0.020686115888620883,0.9834960445673067
H2_OLS_log1p_cluster_operator,C(operator)[T.ROCKY MOUNTAIN MIDSTREAM LLC],0.32186272085138384,0.0301049893460038,10.691341463441129,1.1174292550284416e-26
H2_OLS_log1p_cluster_operator,C(operator)[T.ROCKY MOUNTAIN NATURAL GAS LLC],1.0250681488470454,0.37952734316958614,2.700907239742695,0.006915062176054553
H2_OLS_log1p_cluster_operator,C(operator)[T.RWL ENTERPRISES],1.371421079980155,0.10241050549102802,13.391410123449711,6.787962425344187e-41
H2_OLS_log1p_cluster_operator,C(operator)[T.SAMSON RESOURCES COMPANY],0.13460266418612665,0.38683764032204904,0.34795648136532836,0.7278728664415295
H2_OLS_log1p_cluster_operator,C(operator)[T.SCHNEIDER ENERGY SERVICES INC],-0.4746191572308611,0.14355530054132853,-3.3061764730465084,0.0009457850069987283
H2_OLS_log1p_cluster_operator,C(operator)[T.SCOUT ENERGY MANAGEMENT LLC],-0.6991401069620892,0.376930508786042,-1.854824936335795,0.06362122988734328
H2_OLS_log1p_cluster_operator,C(operator)[T.SMITH ENERGY CORP],0.6502727119565512,0.13981942601342223,4.650803758085282,3.3064384580611073e-06
H2_OLS_log1p_cluster_operator,C(operator)[T.SMITH OIL PROPERTIES INC],2.6273191012800052,0.10241050549101152,25.65478110554393,3.7393311244550605e-145
H2_OLS_log1p_cluster_operator,C(operator)[T.SRC ENERGY INC],-0.18518174856584613,0.07546466152208543,-2.453886956236476,0.014132139966580082
H2_OLS_log1p_cluster_operator,C(operator)[T.SUMMIT DJ-S LLC],4.909992165608867,0.024114318219873136,203.61314472338825,0.0
H2_OLS_log1p_cluster_operator,C(operator)[T.SUMMIT MIDSTREAM NIOBRARA LLC],-0.29691829519078244,0.06718231862843527,-4.419589875022715,9.888838973756044e-06
H2_OLS_log1p_cluster_operator,C(operator)[T.SUMMIT MIDSTREAM PARTNERS LLC],-0.6162590914247144,0.363851202376118,-1.6937118453924438,0.09032005245821069
H2_OLS_log1p_cluster_operator,C(operator)[T.SYNERGY RESOURCES CORPORATION],0.19822745612178533,0.08363819577445239,2.3700589699034933,0.01778524834914147
