model,term,coef,se,z_or_t,p_value
H2_ols_log1p_cond_delay_gt0,C(operator)[T.VERDAD RESOURCES LLC],0.18641681781299307,0.01541137630202785,12.096052562707465,1.1081280842187441e-33
H2_ols_log1p_cond_delay_gt0,C(operator)[T.VISION ENERGY LLC],0.9758259835928186,0.2522312390132695,3.8687752849736503,0.0001093833930607992
H2_ols_log1p_cond_delay_gt0,C(operator)[T.WARD PETROLEUM CORPORATION],0.37052133002912746,0.014532190862060737,25.49659122606553,2.1505372512380895e-143
H2_ols_log1p_cond_delay_gt0,C(operator)[T.WEXPRO COMPANY],0.8836056800221224,0.2973036156995641,2.972065031711681,0.002958040214348464
H2_ols_log1p_cond_delay_gt0,C(operator)[T.WHITING OIL & GAS CORPORATION],0.11378558935684314,0.0366432832290072,3.105223640734499,0.0019013520494189343
H2_ols_log1p_cond_delay_gt0,C(operator)[T.WINDSOR ENERGY GROUP LLC],2.6592155400204858,0.20510045624217063,12.965429666722143,1.9215067085488528e-38
H2_ols_log1p_cond_delay_gt0,C(operator)[T.WOODARD* SANDRA K],-0.6179291929716997,0.20510045624221643,-3.0128123763993337,0.0025883889216573417
H2_ols_log1p_cond_delay_gt0,C(operator)[T.WPX ENERGY ROCKY MOUNTAIN LLC],-0.5280818984023654,0.2733477014858837,-1.9319053920401694,0.05337118414596016
H2_ols_log1p_cond_delay_gt0,C(operator)[T.XTO ENERGY INC],-0.3014942221213871,0.2062246001236126,-1.4619702108316328,0.14374937321131948
H2_ols_log1p_cond_delay_gt0,post,-0.0570986613801691,0.017412675932136266,-3.2791434012040432,0.0010412271123785338
H2_ols_log1p_cond_delay_gt0,historical,0.10790303944028434,0.12792724414406476,0.8434719293942561,0.3989645584822149
H2_ols_log1p_cond_delay_gt0,post:historical,0.20239212139090484,0.029057318722280175,6.965271755639221,3.2777042240092707e-12
